factor,view,base,family
csz_rv_x_volz_42,cross-sectional zscore,rv_x_volz_42,volatility
csz_minret_13,cross-sectional zscore,minret_13,other
csz_mom_x_oimom_13,cross-sectional zscore,mom_x_oimom_13,momentum
csr_minret_42,cross-sectional rank,minret_42,other
tsz_willr_55,time-series zscore,willr_55,oscillator
tsz_rsi_26,time-series zscore,rsi_26,oscillator
csz_mom_x_oimom_26,cross-sectional zscore,mom_x_oimom_26,momentum
csr_drawdn_55,cross-sectional rank,drawdn_55,range
csr_cpos_lag5,cross-sectional rank,cpos_lag5,candle-geom
csr_rsi_55,cross-sectional rank,rsi_55,oscillator
csz_amtmom_55,cross-sectional zscore,amtmom_55,other
csr_ret_ac1_34,cross-sectional rank,ret_ac1_34,other
csr_ret_ac2_42,cross-sectional rank,ret_ac2_42,other
csz_vwap_dev_55,cross-sectional zscore,vwap_dev_55,volume/price
csz_vwap_dev_34,cross-sectional zscore,vwap_dev_34,volume/price
tsz_upratio_13,time-series zscore,upratio_13,other
illiq_34,raw,illiq_34,other
csz_amtmom_6,cross-sectional zscore,amtmom_6,other
csr_cpos_55,cross-sectional rank,cpos_55,candle-geom
csr_stoch_55,cross-sectional rank,stoch_55,oscillator
tsz_upratio_16,time-series zscore,upratio_16,other
csz_volskew_26,cross-sectional zscore,volskew_26,volatility
csr_rv_3,cross-sectional rank,rv_3,volatility
tsz_upsh_21,time-series zscore,upsh_21,other
csr_rv_4,cross-sectional rank,rv_4,volatility
csr_oimom_4,cross-sectional rank,oimom_4,open-interest
csr_bop_55,cross-sectional rank,bop_55,candle-geom
csr_oiz_6,cross-sectional rank,oiz_6,open-interest
rv_x_volz_55,raw,rv_x_volz_55,volatility
tsz_rv_2,time-series zscore,rv_2,volatility
csr_atr_8,cross-sectional rank,atr_8,volatility
amtmom_8,raw,amtmom_8,other
csz_dvol_16,cross-sectional zscore,dvol_16,other
shadow_vol_diff_8,raw,shadow_vol_diff_8,candle-geom
tsz_upsh_8,time-series zscore,upsh_8,other
volskew_16,raw,volskew_16,volatility
shadow_vol_diff_13,raw,shadow_vol_diff_13,candle-geom
csr_upratio_13,cross-sectional rank,upratio_13,other
csz_drawup_72,cross-sectional zscore,drawup_72,range
csr_shadow_vol_diff_26,cross-sectional rank,shadow_vol_diff_26,candle-geom
shadow_vol_diff_6,raw,shadow_vol_diff_6,candle-geom
csr_kurt_16,cross-sectional rank,kurt_16,other
csr_minret_55,cross-sectional rank,minret_55,other
mom_x_volz_55,raw,mom_x_volz_55,momentum
tsz_maxret_16,time-series zscore,maxret_16,other
csr_kurt_55,cross-sectional rank,kurt_55,other
csr_dvol_21,cross-sectional rank,dvol_21,other
csr_maxret_10,cross-sectional rank,maxret_10,other
tsz_oi_vol_ratio,time-series zscore,oi_vol_ratio,open-interest
csr_minret_21,cross-sectional rank,minret_21,other
csr_drawdn_42,cross-sectional rank,drawdn_42,range
csr_mfi_55,cross-sectional rank,mfi_55,other
amtmom_34,raw,amtmom_34,other
tsz_dvol_26,time-series zscore,dvol_26,other
roc_16,raw,roc_16,momentum
csz_tr_dir_16,cross-sectional zscore,tr_dir_16,other
tsz_rv_55,time-series zscore,rv_55,volatility
csz_losh_55,cross-sectional zscore,losh_55,other
csr_park_4,cross-sectional rank,park_4,volatility
illiq_4,raw,illiq_4,other
skew_34,raw,skew_34,other
csr_illiq_8,cross-sectional rank,illiq_8,other
csr_losh_8,cross-sectional rank,losh_8,other
csr_shadow_vol_diff_16,cross-sectional rank,shadow_vol_diff_16,candle-geom
csz_vwap_dev_72,cross-sectional zscore,vwap_dev_72,volume/price
csr_oimom_10,cross-sectional rank,oimom_10,open-interest
shadow_vol_diff_10,raw,shadow_vol_diff_10,candle-geom
csr_losh_21,cross-sectional rank,losh_21,other
mom_x_oimom_16,raw,mom_x_oimom_16,momentum
csr_park_2,cross-sectional rank,park_2,volatility
csz_mfi_13,cross-sectional zscore,mfi_13,other
csr_kurt_26,cross-sectional rank,kurt_26,other
tsz_range_26,time-series zscore,range_26,volatility/range
tsz_rv_26,time-series zscore,rv_26,volatility
tsz_effratio_13,time-series zscore,effratio_13,other
pacorr_13,raw,pacorr_13,other
oimom_13,raw,oimom_13,open-interest
csz_kurt_72,cross-sectional zscore,kurt_72,other
dvol_6,raw,dvol_6,other
csr_pacorr_26,cross-sectional rank,pacorr_26,other
shadow_vol_diff_26,raw,shadow_vol_diff_26,candle-geom
tsz_mfi_21,time-series zscore,mfi_21,other
csz_skew_72,cross-sectional zscore,skew_72,other
csr_kurt_21,cross-sectional rank,kurt_21,other
drawup_42,raw,drawup_42,range
csz_amtmom_34,cross-sectional zscore,amtmom_34,other
csz_park_3,cross-sectional zscore,park_3,volatility
csz_kurt_4,cross-sectional zscore,kurt_4,other
csz_rv_8,cross-sectional zscore,rv_8,volatility
csr_ret_ac1_16,cross-sectional rank,ret_ac1_16,other
tsz_cpos_21,time-series zscore,cpos_21,candle-geom
csz_kurt_34,cross-sectional zscore,kurt_34,other
tsz_maxret_21,time-series zscore,maxret_21,other
volmom_13,raw,volmom_13,volatility
csz_ret_ac1_26,cross-sectional zscore,ret_ac1_26,other
csz_oipx_div_13,cross-sectional zscore,oipx_div_13,open-interest
skew_26,raw,skew_26,other
tsz_body_21,time-series zscore,body_21,candle-geom
csz_mom_x_oimom_72,cross-sectional zscore,mom_x_oimom_72,momentum
csz_kurt_42,cross-sectional zscore,kurt_42,other
amtz_21,raw,amtz_21,other
csr_amtmom_21,cross-sectional rank,amtmom_21,other
skew_21,raw,skew_21,other
csr_shadow_vol_diff_21,cross-sectional rank,shadow_vol_diff_21,candle-geom
oiz_21,raw,oiz_21,open-interest
tsz_maxret_26,time-series zscore,maxret_26,other
csz_amtmom_21,cross-sectional zscore,amtmom_21,other
tsz_drawdn_42,time-series zscore,drawdn_42,range
csr_effratio_21,cross-sectional rank,effratio_21,other
csz_volskew_42,cross-sectional zscore,volskew_42,volatility
tsz_effratio_16,time-series zscore,effratio_16,other
oipx_div_72,raw,oipx_div_72,open-interest
csz_mfi_16,cross-sectional zscore,mfi_16,other
csr_minret_26,cross-sectional rank,minret_26,other
tsz_mfi_16,time-series zscore,mfi_16,other
amtmom_13,raw,amtmom_13,other
csz_roc_55,cross-sectional zscore,roc_55,momentum
pvcorr_16,raw,pvcorr_16,other
amtmom_6,raw,amtmom_6,other
tsz_dvol_55,time-series zscore,dvol_55,other
csr_kurt_42,cross-sectional rank,kurt_42,other
csr_amtmom_55,cross-sectional rank,amtmom_55,other
oipx_div_16,raw,oipx_div_16,open-interest
