factor,view,base,family
body_8,raw,body_8,candle-geom
mfi_8,raw,mfi_8,other
csz_mom_x_volz_21,cross-sectional zscore,mom_x_volz_21,momentum
rv_2,raw,rv_2,volatility
csz_mom_x_volz_16,cross-sectional zscore,mom_x_volz_16,momentum
mom_x_volz_21,raw,mom_x_volz_21,momentum
rv_21,raw,rv_21,volatility
mfi_10,raw,mfi_10,other
drawup_21,raw,drawup_21,range
rsi_13,raw,rsi_13,oscillator
mom_10,raw,mom_10,momentum
oi_vol_ratio,raw,oi_vol_ratio,open-interest
csz_mom_34_lag3,cross-sectional zscore,mom_34_lag3,momentum
csz_willr_16,cross-sectional zscore,willr_16,oscillator
amt_flow_4,raw,amt_flow_4,other
atr_10,raw,atr_10,volatility
maxret_21,raw,maxret_21,other
csz_mom_x_volz_26,cross-sectional zscore,mom_x_volz_26,momentum
tsz_updn_vol_ratio_6,time-series zscore,updn_vol_ratio_6,other
mom_x_volz_26,raw,mom_x_volz_26,momentum
atr_6,raw,atr_6,volatility
ema_diff_16_72,raw,ema_diff_16_72,trend
csz_roc_10,cross-sectional zscore,roc_10,momentum
csr_upratio_4,cross-sectional rank,upratio_4,other
csz_amt_prop_signed_55,cross-sectional zscore,amt_prop_signed_55,other
upratio_13,raw,upratio_13,other
csz_mom_34_lag1,cross-sectional zscore,mom_34_lag1,momentum
rv_x_volz_4,raw,rv_x_volz_4,volatility
tsz_drawup_8,time-series zscore,drawup_8,range
csr_cmo_8,cross-sectional rank,cmo_8,oscillator
csr_mfi_4,cross-sectional rank,mfi_4,other
csr_mom_x_volz_21,cross-sectional rank,mom_x_volz_21,momentum
csz_macd_16_72,cross-sectional zscore,macd_16_72,momentum/trend
stoch_21,raw,stoch_21,oscillator
park_2,raw,park_2,volatility
csr_mom_34_lag2,cross-sectional rank,mom_34_lag2,momentum
tsz_amt_prop_signed_55,time-series zscore,amt_prop_signed_55,other
rv_8,raw,rv_8,volatility
csr_mom_x_volz_13,cross-sectional rank,mom_x_volz_13,momentum
bollz_21_lag3,raw,bollz_21_lag3,oscillator/mean-rev
dvol_26,raw,dvol_26,other
rsi_16,raw,rsi_16,oscillator
mfi_13,raw,mfi_13,other
csz_dvol_4,cross-sectional zscore,dvol_4,other
csz_mom_accel,cross-sectional zscore,mom_accel,momentum
body_pos_inter_6,raw,body_pos_inter_6,candle-geom
px_sma_72,raw,px_sma_72,trend
drawdn_8,raw,drawdn_8,range
losh_8,raw,losh_8,other
tr_dir_72,raw,tr_dir_72,other
dvol_72,raw,dvol_72,other
tsz_px_sma_13,time-series zscore,px_sma_13,trend
tsz_ret_oi_corr_16,time-series zscore,ret_oi_corr_16,other
tsz_upratio_4,time-series zscore,upratio_4,other
minret_2,raw,minret_2,other
rv_3,raw,rv_3,volatility
effratio_6,raw,effratio_6,other
csz_cci_13,cross-sectional zscore,cci_13,oscillator
csr_vwap_macd_8_34,cross-sectional rank,vwap_macd_8_34,volume/price
upsh_8,raw,upsh_8,other
bollz_21_lag5,raw,bollz_21_lag5,oscillator/mean-rev
mom_x_volz_4,raw,mom_x_volz_4,momentum
csr_upratio_5,cross-sectional rank,upratio_5,other
tsz_mom_34_lag3,time-series zscore,mom_34_lag3,momentum
upratio_16,raw,upratio_16,other
csz_ret_oi_corr_16,cross-sectional zscore,ret_oi_corr_16,other
mom_72,raw,mom_72,momentum
tr_dir_42,raw,tr_dir_42,other
csz_px_sma_21,cross-sectional zscore,px_sma_21,trend
csr_mom_x_volz_16,cross-sectional rank,mom_x_volz_16,momentum
tsz_ret_oi_corr_21,time-series zscore,ret_oi_corr_21,other
csr_turnover_z_4,cross-sectional rank,turnover_z_4,other
csz_maxret_5,cross-sectional zscore,maxret_5,other
sharpe_72,raw,sharpe_72,momentum/risk-adj
csz_vol_flow_6,cross-sectional zscore,vol_flow_6,volatility
body_21,raw,body_21,candle-geom
cpos_lag1,raw,cpos_lag1,candle-geom
mom_13_lag2,raw,mom_13_lag2,momentum
csz_body_pos_inter_8,cross-sectional zscore,body_pos_inter_8,candle-geom
bop_21_lag3,raw,bop_21_lag3,candle-geom
mom_x_volz_10,raw,mom_x_volz_10,momentum
csz_tr_dir_8,cross-sectional zscore,tr_dir_8,other
cci_21_lag2,raw,cci_21_lag2,oscillator
cpos_21,raw,cpos_21,candle-geom
mom_x_oimom_8,raw,mom_x_oimom_8,momentum
csr_bop_8,cross-sectional rank,bop_8,candle-geom
effratio_55,raw,effratio_55,other
csr_mom_x_volz_26,cross-sectional rank,mom_x_volz_26,momentum
csr_mom_34_lag5,cross-sectional rank,mom_34_lag5,momentum
park_3,raw,park_3,volatility
tsz_mom_x_volz_13,time-series zscore,mom_x_volz_13,momentum
tsz_upratio_5,time-series zscore,upratio_5,other
cci_72,raw,cci_72,oscillator
tr_dir_34,raw,tr_dir_34,other
rsi_21,raw,rsi_21,oscillator
csz_ret_oi_corr_10,cross-sectional zscore,ret_oi_corr_10,other
turnover_z_72,raw,turnover_z_72,other
tsz_bop_8,time-series zscore,bop_8,candle-geom
csr_updn_vol_ratio_8,cross-sectional rank,updn_vol_ratio_8,other
csz_ret_oi_corr_21,cross-sectional zscore,ret_oi_corr_21,other
tsz_cmo_8,time-series zscore,cmo_8,oscillator
csr_mom_13_lag2,cross-sectional rank,mom_13_lag2,momentum
effratio_13,raw,effratio_13,other
tsz_ret_oi_corr_10,time-series zscore,ret_oi_corr_10,other
upratio_21,raw,upratio_21,other
csr_minret_4,cross-sectional rank,minret_4,other
drawdn_34,raw,drawdn_34,range
effratio_4,raw,effratio_4,other
drawdn_55,raw,drawdn_55,range
csz_mom_x_volz_4,cross-sectional zscore,mom_x_volz_4,momentum
csr_upratio_6,cross-sectional rank,upratio_6,other
csz_stoch_21_lag5,cross-sectional zscore,stoch_21_lag5,oscillator
effratio_8,raw,effratio_8,other
dvol_34,raw,dvol_34,other
amt_flow_6,raw,amt_flow_6,other
csz_volskew_8,cross-sectional zscore,volskew_8,volatility
upsh_21,raw,upsh_21,other
csr_updn_vol_ratio_10,cross-sectional rank,updn_vol_ratio_10,other
tsz_maxret_3,time-series zscore,maxret_3,other
vol_flow_72,raw,vol_flow_72,volatility
csz_stoch_21_lag3,cross-sectional zscore,stoch_21_lag3,oscillator
csz_mom_x_volz_10,cross-sectional zscore,mom_x_volz_10,momentum
cpos_lag5,raw,cpos_lag5,candle-geom
csz_rsi_21_lag3,cross-sectional zscore,rsi_21_lag3,oscillator
dual_thrust_pos_16,raw,dual_thrust_pos_16,other
losh_21,raw,losh_21,other
tsz_mom_8,time-series zscore,mom_8,momentum
csz_rsi_21_lag5,cross-sectional zscore,rsi_21_lag5,oscillator
mom_13_lag3,raw,mom_13_lag3,momentum
csr_tr_dir_10,cross-sectional rank,tr_dir_10,other
csz_minret_5,cross-sectional zscore,minret_5,other
bop_21_lag5,raw,bop_21_lag5,candle-geom
turnover_z_42,raw,turnover_z_42,other
mom_x_volz_8,raw,mom_x_volz_8,momentum
csr_stoch_21,cross-sectional rank,stoch_21,oscillator
csr_cmo_10,cross-sectional rank,cmo_10,oscillator
ret_oi_corr_8,raw,ret_oi_corr_8,other
tsz_upratio_6,time-series zscore,upratio_6,other
tr_dir_8,raw,tr_dir_8,other
csr_bollz_21_lag5,cross-sectional rank,bollz_21_lag5,oscillator/mean-rev
vol_flow_42,raw,vol_flow_42,volatility
rv_5,raw,rv_5,volatility
csr_bollz_21_lag3,cross-sectional rank,bollz_21_lag3,oscillator/mean-rev
pacorr_72,raw,pacorr_72,other
csr_drawdn_21,cross-sectional rank,drawdn_21,range
csz_body_pos_inter_10,cross-sectional zscore,body_pos_inter_10,candle-geom
csr_px_sma_21,cross-sectional rank,px_sma_21,trend
ret_ac1_6,raw,ret_ac1_6,other
csr_bollz_26,cross-sectional rank,bollz_26,oscillator/mean-rev
tsz_mom_x_volz_26,time-series zscore,mom_x_volz_26,momentum
csz_dvol_6,cross-sectional zscore,dvol_6,other
tsz_bop_21_lag3,time-series zscore,bop_21_lag3,candle-geom
csr_mom_13_lag5,cross-sectional rank,mom_13_lag5,momentum
dvol_55,raw,dvol_55,other
csr_mom_13_lag3,cross-sectional rank,mom_13_lag3,momentum
vol_flow_34,raw,vol_flow_34,volatility
